Name,Team,Position,Age,Exp,Pick,ADP,Std-Dev,High,Lot,Times-Drafted
Eric Ebron,IND,TE,26,5,13.12,155.7,19.3,9.05,16.02,87
Trey Burton,CHI,TE,28,5,6.09,69.3,7.1,5.04,9.02,470
James White,NEP,RB,27,5,11.01,121.1,13.8,3.11,12.12,366
Jimmy Garoppolo,SFO,QB,28,5,9.02,97.7,11.2,3.05,11.01,358
Jerick McKinnon,SFO,RB,27,5,3.08,31.9,4.1,2.05,4.08,524
John Brown,BUF,WR,29,5,11.07,126.7,10.3,7.08,13.02,282
Allen Hurns,DAL,WR,28,5,11.05,125,10.3,7.03,13.01,267
Chris Boswell,PIT,K,30,5,14.1,166.3,14.2,4.09,15.12,123
Adam Thielen,MIN,WR,29,5,4.02,38.2,4.3,2.04,5.03,644
Brandon McManus,DEN,K,28,5,15.04,171.7,3.7,14.06,15.11,37
Jameis Winston,TBB,QB,25,4,13.11,154.8,13.7,9.01,15.11,178
Marcus Mariota,TEN,QB,26,4,12.01,133.5,9.9,8.08,14.05,213
Todd Gurley,LAR,RB,25,4,1.01,1.4,0.6,1.01,1.04,709
Melvin Gordon,LAC,RB,26,4,1.09,8.8,1.7,1.03,2.03,793
Tevin Coleman,SFO,RB,26,4,6.12,71.7,8.1,4.1,8.12,562
T.J. Yeldon,BUF,RB,26,4,14.03,159.1,16.9,11.06,15.12,67
Jay Ajayi,FA,RB,26,4,4.03,39.3,5.3,2.09,6.02,647
Duke Johnson,CLE,RB,26,4,11.09,129,13.6,5.1,15.08,328
David Johnson,ARI,RB,28,4,1.03,3.4,1.2,1.01,1.09,635
Amari Cooper,DAL,WR,25,4,3.12,36,4.2,2.07,4.11,682
DeVante Parker,MIA,WR,26,4,12.08,140.4,13.5,7.11,15.06,162
Nelson Agholor,PHI,WR,26,4,9.02,98.2,9.3,4.04,10.12,482
Jamison Crowder,NYJ,WR,26,4,9.12,108.4,8.1,7.08,11.07,376
Stefon Diggs,MIN,WR,26,4,3.04,28.2,3.2,2.06,4.01,585
Tyler Lockett,SEA,WR,27,4,12.05,136.9,11.5,8.09,14.08,242
Devin Funchess,IND,WR,25,4,8.05,88.6,8.9,5.1,10.04,495
Ty Montgomery,NYJ,RB,26,4,11.07,127.5,14,7.03,15.02,211
Tyrell Williams,OAK,WR,27,4,14.08,163.9,18.4,9.03,16.08,64
Cameron Meredith,NOS,WR,27,4,12.01,132.5,10.6,7.08,14.06,180
