Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Ronald Darby,PHI,CB,25,4,63,3.9375,70,1.75,-46.16666667,408
Frank Clark,KCC,DE,26,4,73,4.5625,11,0.75,-0.5,137
Jordan Hicks,ARI,LB,27,4,121,7.5625,18,0.75,-11.33333333,193
Henry Anderson,NYJ,DE,28,4,41.5,2.59375,46,0,-32,326
Steven Nelson,PIT,CB,26,4,84,5.25,38,0.5,-25.16666667,290
Angelo Blackson,HOU,DE,27,4,26,1.625,71,0.25,-47.5,419
Clayton Geathers,IND,S,27,4,86,5.375,35,0.5,-23.16666667,274
Rodney Gunter,ARI,DE,27,4,37.5,2.34375,52,0.25,-36,351
Za'Darius Smith,GBP,LB,27,4,55,3.4375,76,0.25,-77.33333333,541
Damien Wilson,KCC,LB,26,4,45,2.8125,86,1.75,-87.33333333,584
Grady Jarrett,ATL,DT,26,4,59,3.6875,23,1.5,-14.5,218
Adrian Amos,GBP,S,26,4,82,5.125,41,0.5,-27.16666667,299
Bobby McCain,MIA,CB,26,4,58.5,3.65625,75,0,-50.66666667,433
C.J. Uzomah,CIN,TE,26,4,37.5,2.34375,40,2.9,-49.8,431
J.J. Nelson,OAK,WR,27,4,25.6,1.6,111,0.8,-76.825,538
Nick Boyle,BAL,TE,26,4,9.1,0.56875,66,1.4,-78.2,546
James O'Shaughnessy,JAC,TE,27,4,27.7,1.73125,49,1.65,-59.6,471
Geremy Davis,LAC,WR,27,4,21.9,1.36875,117,0.75,-80.525,554
Darius Philon,ARI,DE,25,4,35,2.1875,57,0.5,-38.5,372
Quandre Diggs,DET,S,28,4,76,4.75,52,0.25,-33.16666667,333
Geoff Swaim,JAC,TE,26,4,19.7,1.23125,59,1.4,-67.6,501
Trevor Siemian,NYJ,QB,28,4,11.24,0.7025,46,1.03,-258.2733333,645
Malcolm Brown,LAR,RB,26,4,57.2,3.575,63,2.35,-55.8,451
Tyrell Williams,OAK,WR,27,4,88.5,5.53125,46,0.2,-13.925,214
DeAndre Carter,HOU,WR,26,4,26.2,1.6375,109,0.5,-76.225,534
Jordan Taylor,MIN,WR,27,4,16.5,1.03125,124,0.7,-85.925,577
Josh Lambo,JAC,K,29,4,35,2.1875,12,0,-4,157
Jason Myers,SEA,K,28,5,41,2.5625,6,0.5,2,122
Rod Smith,NYG,RB,27,4,5.9,0.36875,104,0.85,-107.1,622
Raheem Mostert,SFO,RB,27,4,9,0.5625,99,0.95,-104,617
Cameron Meredith,NOS,WR,27,4,16.1,1.00625,125,1.8,-86.325,580
Seth Roberts,BAL,WR,28,5,47.6,2.975,83,0.9,-54.825,446
Taylor Heinicke,CAR,QB,26,4,10.7,0.66875,47,1.79,-258.8133333,646
Adam Humphries,TEN,WR,26,4,70,4.375,65,1.8,-32.425,328
Matt LaCosse,NEP,TE,27,4,24,1.5,53,1.9,-63.3,485
Carson Wentz,PHI,QB,27,3,269.4,16.8375,13,3.18,-0.113333333,135
Jared Goff,LAR,QB,25,3,275.54,17.22125,9,1.88,6.026666667,105
Connor Cook,FA,QB,26,3,0.94,0.05875,63,0,-268.5733333,662
Jacoby Brissett,IND,QB,27,3,2.6,0.1625,57,0.34,-266.9133333,656
Dak Prescott,DAL,QB,26,3,278.26,17.39125,7,2.09,8.746666667,96
Jeff Driskel,CIN,QB,26,3,16.36,1.0225,43,1.46,-253.1533333,642
Ezekiel Elliott,DAL,RB,24,3,255.6,15.975,2,14.25,142.6,2
Derrick Henry,TEN,RB,25,3,187.1,11.69375,11,2.4,74.1,20
C.J. Prosise,SEA,RB,25,3,39,2.4375,74,1.55,-74,529
Devontae Booker,DEN,RB,27,3,60.3,3.76875,60,2.95,-52.7,438
Kenyan Drake,MIA,RB,25,3,170.5,10.65625,17,2.2,57.5,28
Paul Perkins,NYG,RB,25,3,6,0.375,103,0.2,-107,621
Kenneth Dixon,BAL,RB,25,3,27.2,1.7,83,0.25,-85.8,575
Jordan Howard,PHI,RB,25,3,134.9,8.43125,30,7.4,21.9,69
Wendell Smallwood,PHI,RB,25,3,57.3,3.58125,62,0.65,-55.7,450
Peyton Barber,TBB,RB,25,3,99.8,6.2375,40,2.35,-13.2,207
Laquon Treadwell,MIN,WR,24,3,45.8,2.8625,86,1.45,-56.625,454
Corey Coleman,NYG,WR,25,3,31.6,1.975,104,1.3,-70.825,517
Will Fuller,HOU,WR,25,3,95.9,5.99375,40,4.3,-6.525,170
Josh Doctson,WAS,WR,27,3,88.1,5.50625,48,0.9,-14.325,217
Tyler Boyd,CIN,WR,25,3,108.9,6.80625,32,0.65,6.475,104
Michael Thomas,NOS,WR,26,3,186.8,11.675,5,9.25,84.375,16
Rashard Higgins,CLE,WR,25,3,21.2,1.325,118,0.1,-81.225,558
Tajae Sharpe,TEN,WR,25,3,30,1.875,106,0.35,-72.425,525
Sterling Shepard,NYG,WR,26,3,103.7,6.48125,35,0.6,1.275,126
Geronimo Allison,GBP,WR,25,3,66.8,4.175,68,1.65,-35.625,349
Hunter Henry,LAC,TE,25,3,99.9,6.24375,8,4.4,12.6,85
Austin Hooper,ATL,TE,25,3,86.6,5.4125,14,2.3,-0.7,138
Tyler Higbee,LAR,TE,26,3,28.9,1.80625,45,0.25,-58.4,463
Nick Vannett,SEA,TE,26,3,49.5,3.09375,31,1.9,-37.8,365
Jerell Adams,HOU,TE,27,3,7.4,0.4625,69,0.95,-79.9,553
Joey Bosa,LAC,DE,24,3,86,5.375,6,2.5,12.5,86
Shaq Lawson,BUF,DE,25,3,36.5,2.28125,54,0.75,-37,359
DeForest Buckner,SFO,DT,25,3,83.5,5.21875,7,4.25,10,90
Emmanuel Ogbah,KCC,DE,26,3,46,2.875,41,0.5,-27.5,301
Robert Nkemdiche,ARI,DE,25,3,31.5,1.96875,62,1,-42,384
Jarran Reed,SEA,DT,26,3,66,4.125,17,0,-7.5,176
Andrew Billings,CIN,DT,24,3,26.5,1.65625,70,0.5,-47,415
Jaylon Smith,DAL,LB,24,3,124.5,7.78125,17,3.75,-7.833333333,178
Myles Jack,JAC,LB,24,3,134,8.375,8,1.25,1.666666667,124
Reggie Ragland,KCC,LB,26,3,71,4.4375,62,1.75,-61.33333333,477
Darron Lee,KCC,LB,25,3,74.5,4.65625,56,1,-57.83333333,458
Jordan Jenkins,NYJ,LB,25,3,55.5,3.46875,75,0.25,-76.83333333,539
Jalen Ramsey,JAC,CB,25,3,84,5.25,38,1,-25.16666667,290
Vernon Hargreaves,TBB,CB,24,3,66.5,4.15625,66,0.25,-42.66666667,387
Kendall Fuller,KCC,CB,24,3,94,5.875,24,2,-15.16666667,221
Eli Apple,NOS,CB,24,3,74,4.625,55,0.25,-35.16666667,345
Jalen Mills,PHI,CB,25,3,71.5,4.46875,60,0.75,-37.66666667,364
Eli Rogers,PIT,WR,27,4,21.1,1.31875,119,1.05,-81.325,559
Leonard Floyd,CHI,LB,27,3,57,3.5625,74,0.75,-75.33333333,532
Keanu Neal,ATL,S,24,3,108,6.75,10,0.75,-1.166666667,141
Kenny Clark,GBP,DT,24,3,70,4.375,14,0.5,-3.5,154
Chris Jones,KCC,DT,25,3,73,4.5625,11,1.5,-0.5,137
Xavien Howard,MIA,CB,26,3,72,4.5,59,0.25,-37.16666667,360
Deion Jones,ATL,LB,25,3,134.5,8.40625,7,1,2.166666667,121
Sean Davis,PIT,S,26,3,86,5.375,35,1,-23.16666667,274
James Bradberry,CAR,CB,26,3,91.5,5.71875,26,0.5,-17.66666667,233
Adam Gotsis,DEN,DE,27,3,41.5,2.59375,46,0,-32,326
Kevin Byard,TEN,S,26,3,107.5,6.71875,11,0.5,-1.666666667,143
Carl Nassib,TBB,DE,26,3,54,3.375,29,1.25,-19.5,247
Yannick Ngakoue,JAC,DE,24,3,63.5,3.96875,19,2.25,-10,187
Daryl Worley,OAK,CB,24,3,67,4.1875,65,0.5,-42.16666667,385
Nick Vigil,CIN,LB,26,3,78,4.875,53,0.5,-54.33333333,443
Javon Hargrave,PIT,DT,26,3,52.5,3.28125,31,0.5,-21,257
Justin Simmons,DEN,S,26,3,96.5,6.03125,20,0.75,-12.66666667,203
Joe Schobert,CLE,LB,26,3,126,7.875,15,1.25,-6.333333333,169
Chris Moore,BAL,WR,26,3,24.5,1.53125,114,1.15,-77.925,545
B.J. Goodson,NYG,LB,26,3,55,3.4375,76,0.75,-77.33333333,541
De'Vondre Campbell,ATL,LB,26,3,86.5,5.40625,46,0.25,-45.83333333,406
Demarcus Robinson,KCC,WR,25,3,81.6,5.1,54,1.6,-20.825,256
Blake Martinez,GBP,LB,25,3,139,8.6875,4,1.5,6.666666667,103
Willie Henry,BAL,DE,25,3,40.5,2.53125,48,0.5,-33,332
Dean Lowry,GBP,DE,25,3,41.5,2.59375,46,0,-32,326
Seth DeValve,CLE,TE,26,3,4.4,0.275,73,0.45,-82.9,566
Matt Judon,BAL,LB,27,3,63.5,3.96875,68,0.25,-68.83333333,508
Quinton Jefferson,SEA,DE,26,3,33.5,2.09375,59,0.5,-40,379
Matt Ioannidis,WAS,DE,25,3,40,2.5,49,0.5,-33.5,336
Tyreek Hill,KCC,WR,25,3,140.2,8.7625,19,4.4,37.775,49
D.J. Reader,HOU,DT,25,3,32,2,61,0.25,-41.5,383
Jatavis Brown,LAC,LB,25,3,61,3.8125,71,0.25,-71.33333333,519
Jakeem Grant,MIA,WR,27,3,37.9,2.36875,97,1.1,-64.525,487
Nate Sudfeld,PHI,QB,26,3,26.32,1.645,36,0.92,-243.1933333,635
David Morgan,MIN,TE,26,3,4.5,0.28125,72,0.3,-82.8,564
Kamu Grugier-Hill,PHI,LB,25,3,53,3.3125,79,0.75,-79.33333333,550
Darius Jackson,DAL,RB,26,3,41.9,2.61875,72,1.7,-71.1,518
Stephen Weatherly,MIN,DE,25,3,36,2.25,55,0.75,-37.5,362
Dwayne Washington,NOS,RB,25,3,27.1,1.69375,84,0.5,-85.9,576
Ka'imi Fairbairn,HOU,K,25,3,39,2.4375,8,1,0,134
Andy Jones,DET,WR,25,3,13.1,0.81875,127,2.3,-89.325,589
Jalen Richard,OAK,RB,26,3,92,5.75,44,1.85,-21,257
Alex Erickson,CIN,WR,27,3,24.6,1.5375,113,0.6,-77.825,543
Robby Anderson,NYJ,WR,26,3,128.2,8.0125,23,2.25,25.775,63
Chester Rogers,IND,WR,25,3,39.5,2.46875,96,0.8,-62.925,483
Brian Poole,NYJ,CB,27,3,77,4.8125,50,0,-32.16666667,327
Romeo Okwara,DET,DE,24,3,51,3.1875,34,0.25,-22.5,269
Michael Pierce,BAL,DE,27,3,37.5,2.34375,52,0.75,-36,351
Wil Lutz,NOS,K,25,3,51,3.1875,1,1,12,87
Cory Littleton,LAR,LB,26,3,131.5,8.21875,11,2.5,-0.833333333,139
Kerry Hyder,DAL,DE,28,3,30,1.875,64,1,-43.5,394
Jonathan Jones,NEP,CB,26,3,73,4.5625,57,0.75,-36.16666667,352
Patrick Onwuasor,BAL,LB,27,3,112,7,25,1.25,-20.33333333,253
Eric Tomlinson,NYJ,TE,27,4,21.5,1.34375,56,1,-65.8,494
Antwaun Woods,DAL,DT,26,3,26,1.625,71,0.75,-47.5,419
Deshaun Watson,HOU,QB,24,2,307.5,19.21875,3,13.26,37.98666667,48
DeShone Kizer,GBP,QB,23,2,1.9,0.11875,60,0.48,-267.6133333,659
Mitchell Trubisky,CHI,QB,25,2,271.7,16.98125,12,3.28,2.186666667,120
Patrick Mahomes,KCC,QB,24,2,323.3,20.20625,1,13.39,53.78666667,32
Cooper Rush,DAL,QB,26,2,6.2,0.3875,53,1.07,-263.3133333,652
C.J. Beathard,SFO,QB,26,2,48.84,3.0525,34,16.62,-220.6733333,633
Dalvin Cook,MIN,RB,24,2,203.5,12.71875,10,16.8,90.5,14
Leonard Fournette,JAC,RB,24,2,163.1,10.19375,23,8.15,50.1,41
Christian McCaffrey,CAR,RB,23,2,233.6,14.6,5,21.65,120.6,5
Joe Mixon,CIN,RB,23,2,186.3,11.64375,12,7.45,73.3,21
Alvin Kamara,NOS,RB,23,2,247.5,15.46875,3,13.1,134.5,3
D'Onta Foreman,HOU,RB,23,2,77.4,4.8375,52,1.95,-35.6,348
Wayne Gallman,NYG,RB,25,2,35.7,2.23125,79,3.9,-77.3,540
Corey Clement,PHI,RB,25,2,17.1,1.06875,93,2.75,-95.9,608
Kareem Hunt,CLE,RB,24,2,68.1,4.25625,57,3,-44.9,400
Jamaal Williams,GBP,RB,24,2,65.7,4.10625,58,3.3,-47.3,418
Elijah McGuire,NYJ,RB,25,2,41.4,2.5875,73,3,-71.6,520
James Conner,PIT,RB,24,2,216,13.5,6,8.2,103,9
Corey Davis,TEN,WR,24,2,115.7,7.23125,29,3.6,13.275,81
Mike Williams,LAC,WR,25,2,126.2,7.8875,24,1.15,23.775,64
John Ross,CIN,WR,24,2,44.5,2.78125,87,0.35,-57.925,459
JuJu Smith-Schuster,PIT,WR,23,2,198.9,12.43125,4,16.5,96.475,10
Curtis Samuel,CAR,WR,23,2,78.7,4.91875,57,0.05,-23.725,277
Dede Westbrook,JAC,WR,26,2,103.7,6.48125,35,2.55,1.275,126
Chris Godwin,TBB,WR,23,2,125.7,7.85625,25,2.85,23.275,65
Cooper Kupp,LAR,WR,26,2,132,8.25,21,3.05,29.575,58
Ryan Switzer,PIT,WR,25,2,32.5,2.03125,103,1.4,-69.925,515
Taywan Taylor,TEN,WR,24,2,29.6,1.85,108,3.6,-72.825,528
Josh Reynolds,LAR,WR,24,2,37.1,2.31875,98,1.6,-65.325,491
