Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Darnell Savage,GBP,S,0,0,89.5,5.59375,30,0.5,-19.66666667,248
Jahlani Tavai,DET,LB,0,0,53,3.3125,79,1.75,-79.33333333,550
Ben Banogu,IND,DE,23,0,54.5,3.40625,77,1,-77.83333333,544
Juan Thornhill,KCC,S,23,0,87.5,5.46875,33,0.5,-21.66666667,262
Diontae Johnson,PIT,WR,0,0,25.8,1.6125,110,0.5,-76.625,536
Germaine Pratt,CIN,LB,22,0,107.5,6.71875,31,2.5,-24.83333333,288
Cody Barton,SEA,LB,0,0,39.5,2.46875,90,0.75,-92.83333333,594
Oshane Ximines,NYG,DE,24,0,42.5,2.65625,44,0.5,-31,319
Quincy Williams,JAC,LB,23,0,67,4.1875,66,3.25,-65.33333333,492
Alexander Mattison,MIN,RB,0,0,32.2,2.0125,80,2.1,-80.8,555
Chauncey Gardner-Johnson,NOS,S,22,0,78,4.875,48,0.75,-31.16666667,320
Darwin Thompson,KCC,RB,0,0,37.8,2.3625,75,0.9,-75.2,531
