Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Trenton Cannon,NYJ,RB,25,1,27.96,1.7475,72,1.18,-102.84,426
Gus Edwards,BAL,RB,24,1,79.62,4.97625,53,3.32,-51.18,357
Deon Yelder,KCC,TE,24,1,0,0,63,0,-94.36666667,423
Dontrell Hilliard,CLE,RB,24,1,0,0,96,0,-130.8,457
Detrez Newsome,LAC,RB,25,1,7.23,0.451875,81,0.315,-123.57,442
Buddy Howell,HOU,RB,23,1,0,0,96,0,-130.8,457
De'Lance Turner,BAL,RB,24,1,0,0,96,0,-130.8,457
Dalyn Dawkins,TEN,RB,25,1,0,0,96,0,-130.8,457
Jeffery Wilson,SFO,RB,24,1,7.02,0.43875,82,0.235,-123.78,443
Easton Stick,LAC,QB,0,0,0,0,35,0,-283.1866667,462
Miles Sanders,PHI,RB,22,0,5.19,0.324375,86,1.885,-125.61,447
Justice Hill,BAL,RB,22,0,3.54,0.22125,87,0.77,-127.26,448
Darrell Henderson,LAR,RB,22,0,6.25,0.390625,85,1.885,-124.55,446
Devine Ozigbo,NOS,RB,23,0,0,0,96,0,-130.8,457
Damarea Crockett,HOU,RB,0,0,0,0,96,0,-130.8,457
Darrin Hall,CIN,RB,23,0,0,0,96,0,-130.8,457
Noah Fant,DEN,TE,22,0,69.5,4.34375,24,1.2,-24.86666667,247
Jace Sternberger,GBP,TE,0,0,0,0,63,0,-94.36666667,423
Irv Smith Jr.,MIN,TE,21,0,1.15,0.071875,61,0.84,-93.21666667,420
Dawson Knox,BUF,TE,23,0,0,0,63,0,-94.36666667,423
Montez Sweat,WAS,LB,23,0,53.35,3.334375,57,0.6,-29.03333333,277
Quinnen Williams,NYJ,DT,22,0,58.9,3.68125,42,0.15,-23.48333333,232
Ed Oliver,BUF,DT,22,0,58.75,3.671875,43,0.25,-23.63333333,235
Foster Moreau,OAK,TE,22,0,0,0,63,0,-94.36666667,423
Darwin Thompson,KCC,RB,0,0,2.15,0.134375,90,0.22,-128.65,451
Cullen Gillaspia,HOU,RB,24,0,0,0,96,0,-130.8,457
Kerrith Whyte,CHI,RB,23,0,0,0,96,0,-130.8,457
D'Ernest Johnson,CLE,RB,0,0,0,0,96,0,-130.8,457
Wes Hills,ARI,RB,24,0,0,0,96,0,-130.8,457
