Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Floor,Points-VOR,Rank
Rex Burkhead,NEP,RB,29,6,30.4,1.9,57,1.9,30.4,-49.73333333,214
Chris Thompson,WAS,RB,29,6,26.1,1.63125,61,4.5,26.1,-54.03333333,223
Le'Veon Bell,NYJ,RB,27,6,101.7,6.35625,30,6.2,101.7,21.56666667,65
Giovani Bernard,CIN,RB,28,6,151.9,9.49375,20,1.65,151.9,71.76666667,29
Eddie Lacy,FA,RB,29,6,154.9,9.68125,18,1.55,154.9,74.76666667,24
Terrance Williams,FA,WR,30,6,67.3,4.20625,58,3.25,67.3,-36.53333333,191
Justin Hunter,FA,WR,28,6,62.5,3.90625,61,0.5,62.5,-41.33333333,201
Tavon Austin,DAL,WR,28,6,118.2,7.3875,28,3.5,118.2,14.36666667,76
Keenan Allen,LAC,WR,27,6,65.2,4.075,59,2.5,65.2,-38.63333333,194
Cordarrelle Patterson,CHI,WR,28,6,81,5.0625,47,3.45,81,-22.83333333,162
Kenny Stills,MIA,WR,27,6,74.6,4.6625,50,2.85,74.6,-29.23333333,174
Robert Woods,LAR,WR,27,6,70.4,4.4,54,1.4,70.4,-33.43333333,184
Markus Wheaton,FA,WR,28,6,71.8,4.4875,51,0.65,71.8,-32.03333333,177
DeAndre Hopkins,HOU,WR,27,6,88.5,5.53125,44,2.2,88.5,-15.33333333,147
Marquise Goodwin,SFO,WR,29,6,28.1,1.75625,76,2.15,28.1,-75.73333333,244
Travis Kelce,KCC,TE,30,6,66.9,4.18125,22,1.35,66.9,-20,155
Zach Ertz,PHI,TE,29,6,79.9,4.99375,18,2.35,79.9,-7,130
Jordan Reed,WAS,TE,29,6,28.6,1.7875,37,5.65,28.6,-58.3,228
Dion Sims,FA,TE,28,6,36.8,2.3,33,1.1,36.8,-50.1,215
Tyler Eifert,CIN,TE,29,6,88.2,5.5125,12,1.95,88.2,1.3,100
Levine Toilolo,SFO,TE,28,6,29.7,1.85625,36,3.25,29.7,-57.2,226
Vance McDonald,PIT,TE,29,6,36.1,2.25625,34,3.6,36.1,-50.8,216
Caleb Sturgis,FA,K,30,6,35,2.1875,12,1.5,35,-4.714285714,126
Dustin Hopkins,WAS,K,29,6,5,0.3125,15,0,5,-34.71428571,186
Brice Butler,MIA,WR,29,6,39.6,2.475,72,0.6,39.6,-64.23333333,236
