Name,Position,Team,Points,Pts-Game,CI-Low,CI-Hi,Ovr,Pos,CA-Low,CA-Hi,PassYds,PassTDs,PassInts,RushAtt,RushYds,RushTDs,WR-Rec,WR-Yds,WR-TDs
Ryquell Armstead,RB,JAC,41.92,2.62,35.73,48.11,235,70,0,0.09,0,0,0,50.36,193.86,1.02,15.27,128.16,0.69
Alexander Mattison,RB,MIN,41.87,2.62,26.67,57.07,236,71,0.18,0,0.63,0.18,0,41.88,164.65,1.17,18.76,126.25,1
John Ross,WR,CIN,41.62,2.6,25.66,57.58,237,99,0,0,0,0,0,2.84,10.23,0,27.38,268.73,2.42
Ian Thomas,TE,CAR,41.38,2.59,28.94,53.82,238,33,0,0,0,0,0,0,0,0,16.18,189.79,3.65
Paul Perkins,RB,NYG,40.98,2.56,31.62,50.34,239,72,0.14,0.2,2.14,0.14,0,47.09,185.12,1.08,20.41,141.38,0.34
Cameron Brate,TE,TB,40.86,2.55,31.75,49.97,240,34,0,0,0,0,0,0,0,0,24.28,251.6,2.64
Kenneth Dixon,RB,BAL,40.68,2.54,30.01,51.35,241,73,0.15,0.15,1.5,0.1,0,36.61,162.6,0.96,14.52,144.41,0.82
Tim Patrick,WR,DEN,40.56,2.54,31.31,49.81,242,100,0,0,0,0,0,2.2,1.84,0,22.27,324.49,1.32
Alfred Blue,RB,JAC,39.79,2.49,29.89,49.69,243,74,0,0,0,0,0,65.88,257.85,0.35,15.23,101.23,0.38
J.J. Arcega-Whiteside,WR,PHI,39.77,2.49,30.57,48.97,244,101,0,0,0,0,0,0,0,0,21.59,287.14,1.83
Jordan Thomas,TE,HOU,38.24,2.39,28.37,48.11,245,35,0,0,0,0,0,0,0,0,22.59,237.57,2.41
Allen Hurns,WR,DAL,38.19,2.39,28.26,48.12,246,102,0.12,0.14,6.91,0,0,0.01,-0.04,0,18.46,263.74,1.93
Jaron Brown,WR,SEA,38.06,2.38,28.62,47.5,247,103,0.01,0.01,0.02,0.01,0,0.36,4.01,0.12,16.45,242.22,2.2
Phillip Dorsett,WR,NE,37.76,2.36,28.66,46.86,248,104,0,0,0,0,0,0.99,7.88,0,19.12,275.41,1.56
Terry McLaurin,WR,WSH,37.27,2.33,28.09,46.45,249,105,0,0.03,0,0,0,0,0,0,20.83,265.01,1.83
Hayden Hurst,TE,BAL,36.6,2.29,26.68,46.52,250,36,0,0,0,0,0,0.3,0.36,0,20.97,250.07,1.93
