Yahoo-ID,Player,Team,Position,Proj-Value,AAV,Percent-Drafted,ADP,Avg-Round,Percent-Drafted
25876,Marvin Jones Jr.,Det,WR,$12 ,1.5,100%,101.2,11.4,99%
29274,Sterling Shepard,NYG,WR,$10 ,1.6,100%,101.4,11.4,99%
7924,Delanie Walker,Ten,TE,$6 ,1.4,100%,103.9,11.6,99%
26804,Latavius Murray,NO,RB,$8 ,1.5,100%,104,11.7,100%
31017,Christian Kirk,Ari,WR,$12 ,1.4,100%,104.9,11.8,99%
cleveland,Cleveland,Cle,DEF,$1 ,1.2,99%,105.6,11.8,99%
25105,Doug Baldwin,Sea,WR,$0 ,5.7,16%,105.9,11.5,6%
5228,Tom Brady,NE,QB,$2 ,2.3,84%,107.4,12,90%
31010,Courtland Sutton,Den,WR,$8 ,1.3,98%,108.1,12.2,95%
30997,Rashaad Penny,Sea,RB,$8 ,1.4,100%,109,12.4,95%
atlanta,Atlanta,Atl,DEF,$0 ,1,0%,109.5,11.4,13%
26678,Vance McDonald,Pit,TE,$5 ,1.7,96%,111.6,12.6,95%
27624,Jerick McKinnon,SF,RB,$7 ,1.4,100%,111.9,12.6,98%
24035,Golden Tate,NYG,WR,$7 ,1.4,96%,112,12.6,91%
25798,Nick Foles,Jax,QB,$1 ,1,2%,112.6,12,4%
9317,LeSean McCoy,Buf,RB,$7 ,1.4,95%,112.8,12.7,92%
6770,Ben Roethlisberger,Pit,QB,$7 ,1.5,100%,112.9,12.7,97%
31014,Dante Pettis,SF,WR,$8 ,1.3,97%,113.1,12.7,89%
3727,Adam Vinatieri,Ind,K,$0 ,1.1,98%,113.1,12.6,96%
31902,Darrell Henderson,LAR,RB,$6 ,3.2,41%,114.2,12.7,44%
31885,Miles Sanders,Phi,RB,$7 ,1.5,56%,115.7,13,55%
30223,Dede Westbrook,Jax,WR,$8 ,1.3,91%,116.9,13.1,84%
31073,Keke Coutee,Hou,WR,$8 ,1.1,93%,117,13.4,73%
9265,Matthew Stafford,Det,QB,$1 ,1.1,2%,117.1,12.4,4%
28389,Jameis Winston,TB,QB,$7 ,1.3,100%,117.7,13.1,99%
28408,Nelson Agholor,Phi,WR,$0 ,1,1%,118.1,12.7,2%
6405,Jason Witten,Dal,TE,$0 ,1.1,3%,118.4,12.7,6%
green-bay,Green Bay,GB,DEF,$0 ,1,3%,118.6,12.8,5%
6762,Larry Fitzgerald,Ari,WR,$7 ,1.4,67%,118.7,13.3,65%
30115,Mitchell Trubisky,Chi,QB,$3 ,1.3,85%,118.9,13.4,82%
26767,Kenny Stills,Mia,WR,$1 ,1.8,2%,119.2,12.9,2%
31864,N'Keal Harry,NE,WR,$6 ,1.9,20%,119.3,12.8,40%
27564,Derek Carr,Oak,QB,$1 ,2.4,3%,120,12.8,7%
24851,Randall Cobb,Dal,WR,$0 ,1,1%,120,12.6,3%
24057,Emmanuel Sanders,Den,WR,$1 ,1.4,11%,120.2,12.7,35%
8261,Adrian Peterson,Was,RB,$1 ,2.6,22%,120.3,13.1,32%
27789,Trey Burton,Chi,TE,$6 ,1.2,98%,120.4,13.3,97%
